,SPY
2019-07-01,295.61
2019-07-02,296.46
2019-07-03,298.76
2019-07-05,298.36
2019-07-08,296.86
2019-07-09,297.26
2019-07-10,298.61
2019-07-11,299.3
2019-07-12,300.68
2019-07-15,300.76
2019-07-16,299.74
2019-07-17,297.77
2019-07-18,298.85
2019-07-19,297.12
2019-07-22,297.92
2019-07-23,299.96
2019-07-24,301.38
2019-07-25,299.9702
2019-07-26,301.99
2019-07-29,301.48
2019-07-30,300.82
2019-07-31,297.38
2019-08-01,294.88
2019-08-02,292.76
2019-08-05,284.04
2019-08-06,287.77
2019-08-07,288.03
2019-08-08,293.55
2019-08-09,291.59
2019-08-12,288.1
2019-08-13,292.43
2019-08-14,283.92
2019-08-15,284.69
2019-08-16,288.87
2019-08-19,292.32
2019-08-20,290.05
2019-08-21,292.43
2019-08-22,292.31
2019-08-23,284.81
2019-08-26,287.97
2019-08-27,286.84
2019-08-28,288.83
2019-08-29,292.56
2019-08-30,292.46
2019-09-03,290.77
2019-09-04,293.97
2019-09-05,297.82
2019-09-06,298.07
2019-09-09,298.15
2019-09-10,298.2
2019-09-11,300.29
2019-09-12,301.27
2019-09-13,301.05
2019-09-16,300.16
2019-09-17,300.94
2019-09-18,301.1
2019-09-19,301.06
2019-09-20,298.13
2019-09-23,298.25
2019-09-24,295.81
2019-09-25,297.6
2019-09-26,296.97
2019-09-27,295.36
2019-09-30,296.83
2019-10-01,293.21
2019-10-02,288.04
2019-10-03,290.37
2019-10-04,294.37
2019-10-07,293.11
2019-10-08,288.55
2019-10-09,291.23
2019-10-10,293.24
2019-10-11,296.26
2019-10-14,296.01
2019-10-15,298.9
2019-10-16,298.41
2019-10-17,299.24
2019-10-18,297.98
2019-10-21,300.05
2019-10-22,299.03
2019-10-23,299.86
2019-10-24,300.42
2019-10-25,301.64
2019-10-28,303.36
2019-10-29,303.2
2019-10-30,304.14
2019-10-31,303.26
2019-11-01,306.18
2019-11-04,307.34
2019-11-05,307.0
2019-11-06,307.14
2019-11-07,308.22
2019-11-08,308.97
2019-11-11,308.39
2019-11-12,308.94
2019-11-13,309.07
2019-11-14,309.53
2019-11-15,311.83
2019-11-18,311.99
2019-11-19,311.89
2019-11-20,310.79
2019-11-21,310.29
2019-11-22,311.0
2019-11-25,313.35
2019-11-26,314.02
2019-11-27,315.44
2019-11-29,314.27
2019-12-02,311.6
2019-12-03,309.47
2019-12-04,311.47
2019-12-05,312.04
2019-12-06,314.82
2019-12-09,313.87
2019-12-10,313.55
2019-12-11,314.41
2019-12-12,317.14
2019-12-13,317.28
2019-12-16,319.51
2019-12-17,319.56
2019-12-18,319.57
2019-12-19,320.91
2019-12-20,320.95
2019-12-23,321.22
2019-12-24,321.26
2019-12-26,322.91
2019-12-27,322.86
2019-12-30,321.1
2019-12-31,321.89
2020-01-02,324.84
2020-01-03,322.44
2020-01-06,323.67
2020-01-07,322.76
2020-01-08,324.42
2020-01-09,326.62
2020-01-10,325.7
2020-01-13,327.94
2020-01-14,327.43
2020-01-15,328.17
2020-01-16,330.9
2020-01-17,332.01
2020-01-21,331.31
2020-01-22,331.39
2020-01-23,331.74
