Date,Btc_Close,Eth_Close,Ltc_Close
2019-07-01,10577.63,293.7,122.54
2019-07-02,10829.18,291.25,118.59
2019-07-03,11976.42,301.79,121.78
2019-07-04,11136.0,282.8,119.59
2019-07-05,11004.51,288.0,118.54
2019-07-06,11237.77,287.57,118.25
2019-07-07,11474.42,306.34,120.18
2019-07-08,12293.53,313.24,123.5
2019-07-09,12571.11,307.92,119.51
2019-07-10,12097.96,288.64,108.28
2019-07-11,11349.0,268.68,102.94
2019-07-12,11802.0,275.55,105.16
2019-07-13,11370.08,269.04,101.15
2019-07-14,10185.03,225.76,89.72
2019-07-15,10854.47,228.28,90.5
2019-07-16,9422.72,198.89,79.68
2019-07-17,9696.31,211.4,90.25
2019-07-18,10649.07,226.31,101.4
2019-07-19,10538.06,221.21,98.75
2019-07-20,10761.03,228.89,100.48
2019-07-21,10590.7,225.64,99.76
2019-07-22,10323.39,217.13,95.12
2019-07-23,9840.12,211.93,90.02
2019-07-24,9772.6,216.59,94.45
2019-07-25,9883.33,219.28,93.29
2019-07-26,9843.0,219.35,94.33
2019-07-27,9479.98,207.11,88.87
2019-07-28,9533.0,211.5,90.02
2019-07-29,9495.01,210.73,90.24
2019-07-30,9589.01,209.83,90.33
2019-07-31,10087.3,218.7,98.89
2019-08-01,10405.94,217.55,98.89
2019-08-02,10533.01,217.8,94.83
2019-08-03,10820.76,222.14,94.2
2019-08-04,10977.51,222.81,92.95
2019-08-05,11819.49,233.0,96.39
2019-08-06,11465.49,225.81,92.88
2019-08-07,11975.03,225.8,90.5
2019-08-08,11981.0,220.81,90.0
2019-08-09,11856.1,210.3,84.32
2019-08-10,11280.95,206.1,85.17
2019-08-11,11540.76,216.06,89.78
2019-08-12,11389.28,211.26,85.78
2019-08-13,10854.92,208.58,84.53
2019-08-14,10025.86,186.3,75.81
2019-08-15,10300.01,188.2,76.25
2019-08-16,10352.78,185.26,74.76
2019-08-17,10217.79,185.59,72.71
2019-08-18,10315.48,194.74,76.34
2019-08-19,10920.0,202.32,77.16
2019-08-20,10769.09,196.56,75.11
2019-08-21,10130.0,187.37,73.19
2019-08-22,10107.15,190.41,73.39
